,kupritz-26037-007
ENSG00000142611,1
ENSG00000284616,0
ENSG00000157911,306
ENSG00000260972,0
ENSG00000224340,16
ENSG00000229280,0
ENSG00000142655,791
ENSG00000232596,0
ENSG00000231510,0
ENSG00000149527,502
ENSG00000171621,359
ENSG00000272235,0
ENSG00000284694,0
ENSG00000224387,7
ENSG00000142583,3
ENSG00000284674,0
ENSG00000224338,0
ENSG00000287727,130
ENSG00000173614,165
ENSG00000215720,0
ENSG00000241326,0
ENSG00000233623,30
ENSG00000204624,25
ENSG00000142606,4
ENSG00000225931,77
ENSG00000171729,0
ENSG00000229393,15
ENSG00000287586,0
ENSG00000227169,0
ENSG00000283356,0
ENSG00000157916,3425
ENSG00000157881,2023
ENSG00000225387,0
ENSG00000048707,17326
ENSG00000225196,9
ENSG00000162444,0
ENSG00000279625,0
ENSG00000180758,206
ENSG00000184677,4437
ENSG00000285833,0
ENSG00000131697,366
ENSG00000280222,0
ENSG00000285945,0
ENSG00000197921,25
ENSG00000284666,0
ENSG00000234397,0
ENSG00000204138,2695
ENSG00000233419,0
ENSG00000225011,0
ENSG00000284676,0
ENSG00000090020,1989
ENSG00000158006,1122
ENSG00000196581,5
ENSG00000169403,191
ENSG00000171612,381
ENSG00000270927,0
ENSG00000188910,4
ENSG00000230523,0
ENSG00000233234,0
ENSG00000189337,23
ENSG00000028137,27839
ENSG00000283259,0
ENSG00000130939,4100
ENSG00000175147,0
ENSG00000127472,0
ENSG00000060656,106
ENSG00000230214,0
ENSG00000189280,1
ENSG00000134698,4970
ENSG00000272420,13
ENSG00000273274,1
ENSG00000236648,0
ENSG00000232273,43
ENSG00000130940,1872
ENSG00000163879,59
ENSG00000227527,7
ENSG00000116954,854
ENSG00000163873,0
ENSG00000117215,1
ENSG00000230163,0
ENSG00000227538,0
ENSG00000044012,0
ENSG00000179051,11522
ENSG00000215895,30
ENSG00000126067,2648
ENSG00000274944,4
ENSG00000272078,216
ENSG00000230451,0
ENSG00000231606,8
ENSG00000254553,0
ENSG00000284653,0
ENSG00000237749,146
ENSG00000276747,10
ENSG00000228776,0
ENSG00000159339,25
ENSG00000261781,0
ENSG00000158315,22
ENSG00000186973,0
ENSG00000146463,4391
ENSG00000142686,1013
ENSG00000224751,64
ENSG00000117148,0
ENSG00000230585,89
ENSG00000117000,5409
ENSG00000284989,0
ENSG00000231630,0
ENSG00000092853,133
ENSG00000255811,2
ENSG00000134697,1694
ENSG00000187513,22
ENSG00000225671,31
ENSG00000116151,280
ENSG00000006555,646
ENSG00000236111,8
ENSG00000214114,690
ENSG00000116544,80
ENSG00000236723,6
ENSG00000232467,19
ENSG00000117016,634
ENSG00000163866,2317
ENSG00000237130,25
ENSG00000232335,0
ENSG00000232762,31
ENSG00000162384,1028
ENSG00000162391,0
ENSG00000117859,3362
ENSG00000162396,282
ENSG00000284686,0
ENSG00000162378,2989
ENSG00000259818,67
ENSG00000234318,1
ENSG00000227485,0
ENSG00000236646,8
ENSG00000243725,175
ENSG00000171872,0
ENSG00000162407,0
ENSG00000163877,2466
ENSG00000228929,4789
ENSG00000224570,15
ENSG00000224980,0
ENSG00000278967,17
ENSG00000157184,680
ENSG00000198815,7872
ENSG00000134744,8451
ENSG00000233910,0
ENSG00000287703,0
ENSG00000283039,0
ENSG00000229294,12
ENSG00000236973,27
ENSG00000277397,0
ENSG00000162385,1405
ENSG00000275350,0
ENSG00000123080,247
ENSG00000285778,0
ENSG00000233407,0
ENSG00000162598,0
ENSG00000280317,0
ENSG00000162415,419
ENSG00000162600,2986
ENSG00000116704,2836
ENSG00000157193,729
ENSG00000116205,1176
ENSG00000233994,234
ENSG00000227556,0
ENSG00000162607,4927
ENSG00000285954,6
ENSG00000233333,5
ENSG00000154027,137
ENSG00000234108,0
ENSG00000232676,13
ENSG00000213579,3
ENSG00000137960,32
ENSG00000237852,13
ENSG00000132855,36
ENSG00000270549,2
ENSG00000237163,0
ENSG00000229636,0
ENSG00000116675,452
ENSG00000162433,22
ENSG00000213625,2372
ENSG00000233664,0
ENSG00000158966,33
ENSG00000213703,10
ENSG00000153898,3677
ENSG00000117069,4
ENSG00000125703,781
ENSG00000234144,6
ENSG00000277670,0
ENSG00000227466,0
ENSG00000230498,31
ENSG00000162618,0
ENSG00000224493,0
ENSG00000131233,2
ENSG00000229225,0
ENSG00000225598,0
ENSG00000137941,94
ENSG00000286548,88
ENSG00000272094,2
ENSG00000228853,0
ENSG00000284895,0
ENSG00000117174,1959
ENSG00000184313,0
ENSG00000288543,2
ENSG00000122420,0
ENSG00000143013,1543
ENSG00000226084,15906
ENSG00000134748,4904
ENSG00000142892,1923
ENSG00000229332,0
ENSG00000227937,0
ENSG00000229752,0
ENSG00000233216,3
ENSG00000197273,2
ENSG00000226804,0
ENSG00000230728,0
ENSG00000232846,12
ENSG00000230787,8
ENSG00000116641,1154
ENSG00000172260,1
ENSG00000285473,0
ENSG00000234578,1
ENSG00000229505,0
ENSG00000228187,35
ENSG00000182183,433
ENSG00000236407,0
ENSG00000271949,0
ENSG00000227062,0
ENSG00000067334,4233
ENSG00000235011,0
ENSG00000213559,0
ENSG00000287587,1
ENSG00000232882,148
ENSG00000171502,0
ENSG00000116157,434
ENSG00000143036,14
ENSG00000065243,2742
ENSG00000226960,4
ENSG00000234080,2
ENSG00000285409,0
ENSG00000117528,2530
ENSG00000271723,0
ENSG00000036549,4728
ENSG00000225191,4
ENSG00000287870,0
ENSG00000232048,0
ENSG00000232857,0
ENSG00000273637,0
ENSG00000228838,18
ENSG00000283761,190
ENSG00000189433,0
ENSG00000142700,0
ENSG00000233514,52
ENSG00000127124,10619
ENSG00000266993,105
ENSG00000229316,0
ENSG00000234099,26
ENSG00000137936,31
ENSG00000232752,8
ENSG00000235829,2
ENSG00000143032,0
ENSG00000280040,0
ENSG00000117519,180
ENSG00000238037,0
ENSG00000134215,3323
ENSG00000227935,0
ENSG00000228502,2428
ENSG00000271277,0
ENSG00000236888,3
ENSG00000230828,0
ENSG00000152078,4
ENSG00000171492,3095
ENSG00000233129,12
ENSG00000170989,13216
ENSG00000237897,5
ENSG00000137962,0
ENSG00000286692,10
ENSG00000260464,28
ENSG00000231996,0
ENSG00000117154,0
ENSG00000162377,538
ENSG00000116774,23
ENSG00000287756,0
ENSG00000284652,0
ENSG00000023909,1950
ENSG00000069702,26298
ENSG00000228399,123
ENSG00000236776,0
ENSG00000271252,0
ENSG00000235794,0
ENSG00000233983,0
ENSG00000116793,941
ENSG00000232918,0
