,kupritz-26037-003
ENSG00000142611,0
ENSG00000284616,0
ENSG00000157911,350
ENSG00000260972,0
ENSG00000224340,4
ENSG00000229280,0
ENSG00000142655,652
ENSG00000232596,0
ENSG00000231510,0
ENSG00000149527,374
ENSG00000171621,198
ENSG00000272235,0
ENSG00000284694,0
ENSG00000224387,8
ENSG00000142583,0
ENSG00000284674,0
ENSG00000224338,0
ENSG00000287727,54
ENSG00000173614,137
ENSG00000215720,0
ENSG00000241326,0
ENSG00000233623,12
ENSG00000204624,19
ENSG00000142606,2
ENSG00000225931,46
ENSG00000171729,1
ENSG00000229393,7
ENSG00000287586,0
ENSG00000227169,0
ENSG00000283356,0
ENSG00000157916,3459
ENSG00000157881,1403
ENSG00000225387,0
ENSG00000048707,13683
ENSG00000225196,2
ENSG00000162444,0
ENSG00000279625,0
ENSG00000180758,137
ENSG00000184677,3273
ENSG00000285833,0
ENSG00000131697,465
ENSG00000280222,0
ENSG00000285945,0
ENSG00000197921,20
ENSG00000284666,0
ENSG00000234397,0
ENSG00000204138,2047
ENSG00000233419,0
ENSG00000225011,0
ENSG00000284676,0
ENSG00000090020,1528
ENSG00000158006,994
ENSG00000196581,0
ENSG00000169403,33
ENSG00000171612,400
ENSG00000270927,0
ENSG00000188910,7
ENSG00000230523,0
ENSG00000233234,0
ENSG00000189337,11
ENSG00000028137,28981
ENSG00000283259,0
ENSG00000130939,3331
ENSG00000175147,0
ENSG00000127472,0
ENSG00000060656,17
ENSG00000230214,0
ENSG00000189280,1
ENSG00000134698,3821
ENSG00000272420,3
ENSG00000273274,0
ENSG00000236648,0
ENSG00000232273,32
ENSG00000130940,1278
ENSG00000163879,61
ENSG00000227527,15
ENSG00000116954,789
ENSG00000163873,0
ENSG00000117215,0
ENSG00000230163,0
ENSG00000227538,0
ENSG00000044012,0
ENSG00000179051,10570
ENSG00000215895,33
ENSG00000126067,3461
ENSG00000274944,1
ENSG00000272078,136
ENSG00000230451,0
ENSG00000231606,7
ENSG00000254553,0
ENSG00000284653,0
ENSG00000237749,122
ENSG00000276747,4
ENSG00000228776,0
ENSG00000159339,12
ENSG00000261781,0
ENSG00000158315,5
ENSG00000186973,0
ENSG00000146463,3696
ENSG00000142686,1001
ENSG00000224751,50
ENSG00000117148,0
ENSG00000230585,64
ENSG00000117000,4473
ENSG00000284989,0
ENSG00000231630,0
ENSG00000092853,202
ENSG00000255811,3
ENSG00000134697,1998
ENSG00000187513,8
ENSG00000225671,38
ENSG00000116151,241
ENSG00000006555,673
ENSG00000236111,10
ENSG00000214114,769
ENSG00000116544,55
ENSG00000236723,5
ENSG00000232467,9
ENSG00000117016,591
ENSG00000163866,2197
ENSG00000237130,12
ENSG00000232335,0
ENSG00000232762,28
ENSG00000162384,1117
ENSG00000162391,5
ENSG00000117859,2677
ENSG00000162396,291
ENSG00000284686,0
ENSG00000162378,1400
ENSG00000259818,37
ENSG00000234318,4
ENSG00000227485,0
ENSG00000236646,3
ENSG00000243725,189
ENSG00000171872,0
ENSG00000162407,0
ENSG00000163877,2007
ENSG00000228929,3689
ENSG00000224570,15
ENSG00000224980,0
ENSG00000278967,24
ENSG00000157184,551
ENSG00000198815,6212
ENSG00000134744,5461
ENSG00000233910,0
ENSG00000287703,0
ENSG00000283039,0
ENSG00000229294,17
ENSG00000236973,11
ENSG00000277397,2
ENSG00000162385,1691
ENSG00000275350,0
ENSG00000123080,333
ENSG00000285778,0
ENSG00000233407,0
ENSG00000162598,0
ENSG00000280317,0
ENSG00000162415,367
ENSG00000162600,1508
ENSG00000116704,2481
ENSG00000157193,1299
ENSG00000116205,881
ENSG00000233994,299
ENSG00000227556,0
ENSG00000162607,3941
ENSG00000285954,5
ENSG00000233333,0
ENSG00000154027,119
ENSG00000234108,1
ENSG00000232676,29
ENSG00000213579,0
ENSG00000137960,24
ENSG00000237852,8
ENSG00000132855,45
ENSG00000270549,2
ENSG00000237163,0
ENSG00000229636,0
ENSG00000116675,528
ENSG00000162433,80
ENSG00000213625,2105
ENSG00000233664,0
ENSG00000158966,36
ENSG00000213703,6
ENSG00000153898,4227
ENSG00000117069,1
ENSG00000125703,658
ENSG00000234144,6
ENSG00000277670,0
ENSG00000227466,0
ENSG00000230498,22
ENSG00000162618,0
ENSG00000224493,0
ENSG00000131233,1
ENSG00000229225,0
ENSG00000225598,0
ENSG00000137941,97
ENSG00000286548,118
ENSG00000272094,4
ENSG00000228853,0
ENSG00000284895,0
ENSG00000117174,1841
ENSG00000184313,0
ENSG00000288543,0
ENSG00000122420,0
ENSG00000143013,1846
ENSG00000226084,17224
ENSG00000134748,3870
ENSG00000142892,1719
ENSG00000229332,0
ENSG00000227937,0
ENSG00000229752,0
ENSG00000233216,0
ENSG00000197273,2
ENSG00000226804,0
ENSG00000230728,0
ENSG00000232846,6
ENSG00000230787,12
ENSG00000116641,1067
ENSG00000172260,0
ENSG00000285473,0
ENSG00000234578,0
ENSG00000229505,0
ENSG00000228187,17
ENSG00000182183,291
ENSG00000236407,0
ENSG00000271949,0
ENSG00000227062,0
ENSG00000067334,4800
ENSG00000235011,0
ENSG00000213559,0
ENSG00000287587,1
ENSG00000232882,86
ENSG00000171502,1
ENSG00000116157,399
ENSG00000143036,4
ENSG00000065243,2229
ENSG00000226960,4
ENSG00000234080,1
ENSG00000285409,0
ENSG00000117528,2473
ENSG00000271723,0
ENSG00000036549,4314
ENSG00000225191,0
ENSG00000287870,0
ENSG00000232048,0
ENSG00000232857,0
ENSG00000273637,0
ENSG00000228838,31
ENSG00000283761,169
ENSG00000189433,2
ENSG00000142700,0
ENSG00000233514,77
ENSG00000127124,11609
ENSG00000266993,74
ENSG00000229316,0
ENSG00000234099,16
ENSG00000137936,43
ENSG00000232752,13
ENSG00000235829,2
ENSG00000143032,0
ENSG00000280040,0
ENSG00000117519,116
ENSG00000238037,0
ENSG00000134215,2577
ENSG00000227935,0
ENSG00000228502,2017
ENSG00000271277,0
ENSG00000236888,1
ENSG00000230828,0
ENSG00000152078,5
ENSG00000171492,2180
ENSG00000233129,6
ENSG00000170989,10486
ENSG00000237897,5
