,kupritz-26037-011
ENSG00000142611,6
ENSG00000284616,0
ENSG00000157911,244
ENSG00000260972,0
ENSG00000224340,5
ENSG00000229280,0
ENSG00000142655,655
ENSG00000232596,0
ENSG00000231510,0
ENSG00000149527,405
ENSG00000171621,113
ENSG00000272235,0
ENSG00000284694,0
ENSG00000224387,16
ENSG00000142583,1
ENSG00000284674,0
ENSG00000224338,0
ENSG00000287727,70
ENSG00000173614,145
ENSG00000215720,0
ENSG00000241326,0
ENSG00000233623,19
ENSG00000204624,9
ENSG00000142606,6
ENSG00000225931,58
ENSG00000171729,1
ENSG00000229393,10
ENSG00000287586,0
ENSG00000227169,0
ENSG00000283356,2
ENSG00000157916,2336
ENSG00000157881,1474
ENSG00000225387,0
ENSG00000048707,11841
ENSG00000225196,2
ENSG00000162444,0
ENSG00000279625,0
ENSG00000180758,152
ENSG00000184677,3127
ENSG00000285833,0
ENSG00000131697,357
ENSG00000280222,0
ENSG00000285945,0
ENSG00000197921,10
ENSG00000284666,1
ENSG00000234397,0
ENSG00000204138,2259
ENSG00000233419,0
ENSG00000225011,0
ENSG00000284676,0
ENSG00000090020,1226
ENSG00000158006,716
ENSG00000196581,1
ENSG00000169403,68
ENSG00000171612,301
ENSG00000270927,0
ENSG00000188910,19
ENSG00000230523,0
ENSG00000233234,0
ENSG00000189337,19
ENSG00000028137,15824
ENSG00000283259,2
ENSG00000130939,2675
ENSG00000175147,0
ENSG00000127472,0
ENSG00000060656,5
ENSG00000230214,0
ENSG00000189280,1
ENSG00000134698,2594
ENSG00000272420,7
ENSG00000273274,0
ENSG00000236648,0
ENSG00000232273,39
ENSG00000130940,1245
ENSG00000163879,41
ENSG00000227527,6
ENSG00000116954,616
ENSG00000163873,0
ENSG00000117215,0
ENSG00000230163,0
ENSG00000227538,0
ENSG00000044012,0
ENSG00000179051,8290
ENSG00000215895,17
ENSG00000126067,2110
ENSG00000274944,1
ENSG00000272078,170
ENSG00000230451,0
ENSG00000231606,5
ENSG00000254553,0
ENSG00000284653,0
ENSG00000237749,87
ENSG00000276747,1
ENSG00000228776,0
ENSG00000159339,32
ENSG00000261781,0
ENSG00000158315,6
ENSG00000186973,0
ENSG00000146463,2576
ENSG00000142686,694
ENSG00000224751,32
ENSG00000117148,0
ENSG00000230585,98
ENSG00000117000,3253
ENSG00000284989,0
ENSG00000231630,0
ENSG00000092853,91
ENSG00000255811,1
ENSG00000134697,1174
ENSG00000187513,27
ENSG00000225671,8
ENSG00000116151,186
ENSG00000006555,429
ENSG00000236111,10
ENSG00000214114,445
ENSG00000116544,53
ENSG00000236723,7
ENSG00000232467,6
ENSG00000117016,298
ENSG00000163866,1668
ENSG00000237130,14
ENSG00000232335,0
ENSG00000232762,27
ENSG00000162384,756
ENSG00000162391,0
ENSG00000117859,2338
ENSG00000162396,211
ENSG00000284686,0
ENSG00000162378,1619
ENSG00000259818,35
ENSG00000234318,4
ENSG00000227485,0
ENSG00000236646,11
ENSG00000243725,127
ENSG00000171872,0
ENSG00000162407,0
ENSG00000163877,1384
ENSG00000228929,4201
ENSG00000224570,8
ENSG00000224980,0
ENSG00000278967,14
ENSG00000157184,436
ENSG00000198815,5420
ENSG00000134744,5748
ENSG00000233910,0
ENSG00000287703,0
ENSG00000283039,0
ENSG00000229294,13
ENSG00000236973,17
ENSG00000277397,0
ENSG00000162385,1048
ENSG00000275350,0
ENSG00000123080,75
ENSG00000285778,0
ENSG00000233407,0
ENSG00000162598,0
ENSG00000280317,0
ENSG00000162415,294
ENSG00000162600,2048
ENSG00000116704,1562
ENSG00000157193,613
ENSG00000116205,888
ENSG00000233994,256
ENSG00000227556,0
ENSG00000162607,2901
ENSG00000285954,2
ENSG00000233333,0
ENSG00000154027,170
ENSG00000234108,0
ENSG00000232676,13
ENSG00000213579,0
ENSG00000137960,12
ENSG00000237852,4
ENSG00000132855,20
ENSG00000270549,2
ENSG00000237163,0
ENSG00000229636,0
ENSG00000116675,231
ENSG00000162433,34
ENSG00000213625,1367
ENSG00000233664,0
ENSG00000158966,154
ENSG00000213703,9
ENSG00000153898,2656
ENSG00000117069,12
ENSG00000125703,386
ENSG00000234144,4
ENSG00000277670,0
ENSG00000227466,0
ENSG00000230498,33
ENSG00000162618,0
ENSG00000224493,0
ENSG00000131233,5
ENSG00000229225,0
ENSG00000225598,0
ENSG00000137941,31
ENSG00000286548,59
ENSG00000272094,4
ENSG00000228853,0
ENSG00000284895,0
ENSG00000117174,1490
ENSG00000184313,0
ENSG00000288543,4
