,kupritz-26037-009
ENSG00000142611,0
ENSG00000284616,0
ENSG00000157911,185
ENSG00000260972,3
ENSG00000224340,10
ENSG00000229280,0
ENSG00000142655,604
ENSG00000232596,0
ENSG00000231510,0
ENSG00000149527,492
ENSG00000171621,311
ENSG00000272235,0
ENSG00000284694,0
ENSG00000224387,12
ENSG00000142583,1
ENSG00000284674,0
ENSG00000224338,0
ENSG00000287727,93
ENSG00000173614,160
ENSG00000215720,0
ENSG00000241326,0
ENSG00000233623,36
ENSG00000204624,28
ENSG00000142606,4
ENSG00000225931,80
ENSG00000171729,0
ENSG00000229393,12
ENSG00000287586,0
ENSG00000227169,0
ENSG00000283356,3
ENSG00000157916,2610
ENSG00000157881,1347
ENSG00000225387,0
ENSG00000048707,12539
ENSG00000225196,1
ENSG00000162444,1
ENSG00000279625,0
ENSG00000180758,219
ENSG00000184677,3327
ENSG00000285833,0
ENSG00000131697,343
ENSG00000280222,0
ENSG00000285945,1
ENSG00000197921,11
ENSG00000284666,0
ENSG00000234397,0
ENSG00000204138,2312
ENSG00000233419,0
ENSG00000225011,0
ENSG00000284676,0
ENSG00000090020,1325
ENSG00000158006,739
ENSG00000196581,1
ENSG00000169403,36
ENSG00000171612,222
ENSG00000270927,0
ENSG00000188910,14
ENSG00000230523,0
ENSG00000233234,0
ENSG00000189337,20
ENSG00000028137,13942
ENSG00000283259,0
ENSG00000130939,2900
ENSG00000175147,0
ENSG00000127472,0
ENSG00000060656,7
ENSG00000230214,0
ENSG00000189280,8
ENSG00000134698,3334
ENSG00000272420,1
ENSG00000273274,1
ENSG00000236648,0
ENSG00000232273,39
ENSG00000130940,894
ENSG00000163879,35
ENSG00000227527,11
ENSG00000116954,773
ENSG00000163873,0
ENSG00000117215,0
ENSG00000230163,0
ENSG00000227538,0
ENSG00000044012,0
ENSG00000179051,6062
ENSG00000215895,15
ENSG00000126067,1966
ENSG00000274944,0
ENSG00000272078,106
ENSG00000230451,0
ENSG00000231606,5
ENSG00000254553,0
ENSG00000284653,0
ENSG00000237749,108
ENSG00000276747,5
ENSG00000228776,0
ENSG00000159339,2
ENSG00000261781,0
ENSG00000158315,9
ENSG00000186973,0
ENSG00000146463,3068
ENSG00000142686,600
ENSG00000224751,50
ENSG00000117148,0
ENSG00000230585,82
ENSG00000117000,3974
ENSG00000284989,0
ENSG00000231630,0
ENSG00000092853,81
ENSG00000255811,3
ENSG00000134697,1256
ENSG00000187513,29
ENSG00000225671,33
ENSG00000116151,181
ENSG00000006555,826
ENSG00000236111,8
ENSG00000214114,560
ENSG00000116544,59
ENSG00000236723,5
ENSG00000232467,9
ENSG00000117016,378
ENSG00000163866,1758
ENSG00000237130,21
ENSG00000232335,0
ENSG00000232762,18
ENSG00000162384,861
ENSG00000162391,0
ENSG00000117859,2800
ENSG00000162396,265
ENSG00000284686,0
ENSG00000162378,2636
ENSG00000259818,49
ENSG00000234318,0
ENSG00000227485,0
ENSG00000236646,4
ENSG00000243725,156
ENSG00000171872,0
ENSG00000162407,0
ENSG00000163877,1621
ENSG00000228929,4701
ENSG00000224570,16
ENSG00000224980,0
ENSG00000278967,45
ENSG00000157184,588
ENSG00000198815,6509
ENSG00000134744,8048
ENSG00000233910,0
ENSG00000287703,0
ENSG00000283039,0
ENSG00000229294,10
ENSG00000236973,22
ENSG00000277397,0
ENSG00000162385,1021
ENSG00000275350,0
ENSG00000123080,171
ENSG00000285778,0
ENSG00000233407,0
ENSG00000162598,0
ENSG00000280317,0
ENSG00000162415,386
ENSG00000162600,3223
ENSG00000116704,1627
ENSG00000157193,616
ENSG00000116205,937
ENSG00000233994,277
ENSG00000227556,0
ENSG00000162607,4627
ENSG00000285954,9
ENSG00000233333,0
ENSG00000154027,361
ENSG00000234108,0
ENSG00000232676,15
ENSG00000213579,0
ENSG00000137960,4
ENSG00000237852,8
ENSG00000132855,51
ENSG00000270549,6
ENSG00000237163,0
ENSG00000229636,0
ENSG00000116675,268
ENSG00000162433,20
ENSG00000213625,1726
ENSG00000233664,0
ENSG00000158966,42
ENSG00000213703,15
ENSG00000153898,1449
ENSG00000117069,5
ENSG00000125703,577
ENSG00000234144,3
ENSG00000277670,0
ENSG00000227466,0
ENSG00000230498,34
ENSG00000162618,0
ENSG00000224493,0
ENSG00000131233,0
ENSG00000229225,0
ENSG00000225598,0
ENSG00000137941,52
ENSG00000286548,63
ENSG00000272094,5
ENSG00000228853,0
ENSG00000284895,0
ENSG00000117174,1681
ENSG00000184313,2
ENSG00000288543,2
ENSG00000122420,0
ENSG00000143013,1043
ENSG00000226084,16683
ENSG00000134748,3994
ENSG00000142892,1766
ENSG00000229332,0
ENSG00000227937,0
ENSG00000229752,0
ENSG00000233216,4
ENSG00000197273,3
ENSG00000226804,0
ENSG00000230728,0
ENSG00000232846,13
ENSG00000230787,4
ENSG00000116641,1168
ENSG00000172260,0
ENSG00000285473,0
ENSG00000234578,0
ENSG00000229505,1
ENSG00000228187,27
ENSG00000182183,503
ENSG00000236407,0
ENSG00000271949,0
ENSG00000227062,0
ENSG00000067334,3309
ENSG00000235011,0
ENSG00000213559,0
ENSG00000287587,0
ENSG00000232882,106
ENSG00000171502,6
ENSG00000116157,342
ENSG00000143036,13
ENSG00000065243,2158
ENSG00000226960,6
ENSG00000234080,0
ENSG00000285409,0
ENSG00000117528,1616
ENSG00000271723,1
ENSG00000036549,4079
ENSG00000225191,0
ENSG00000287870,0
ENSG00000232048,0
ENSG00000232857,0
ENSG00000273637,0
ENSG00000228838,16
ENSG00000283761,170
ENSG00000189433,2
ENSG00000142700,0
ENSG00000233514,49
ENSG00000127124,4237
ENSG00000266993,87
ENSG00000229316,0
ENSG00000234099,29
ENSG00000137936,65
ENSG00000232752,7
ENSG00000235829,1
ENSG00000143032,0
ENSG00000280040,2
ENSG00000117519,87
ENSG00000238037,0
ENSG00000134215,1156
ENSG00000227935,0
ENSG00000228502,1592
ENSG00000271277,0
ENSG00000236888,0
ENSG00000230828,0
ENSG00000152078,4
ENSG00000171492,3093
ENSG00000233129,10
ENSG00000170989,15821
ENSG00000237897,2
