,kupritz-26037-010
ENSG00000142611,1
ENSG00000284616,0
ENSG00000157911,173
ENSG00000260972,0
ENSG00000224340,10
ENSG00000229280,0
ENSG00000142655,539
ENSG00000232596,0
ENSG00000231510,0
ENSG00000149527,488
ENSG00000171621,204
ENSG00000272235,0
ENSG00000284694,0
ENSG00000224387,13
ENSG00000142583,1
ENSG00000284674,0
ENSG00000224338,0
ENSG00000287727,104
ENSG00000173614,144
ENSG00000215720,0
ENSG00000241326,0
ENSG00000233623,31
ENSG00000204624,16
ENSG00000142606,8
ENSG00000225931,115
ENSG00000171729,0
ENSG00000229393,10
ENSG00000287586,0
ENSG00000227169,0
ENSG00000283356,12
ENSG00000157916,1868
ENSG00000157881,1434
ENSG00000225387,0
ENSG00000048707,11025
ENSG00000225196,1
ENSG00000162444,0
ENSG00000279625,0
ENSG00000180758,260
ENSG00000184677,2991
ENSG00000285833,0
ENSG00000131697,283
ENSG00000280222,0
ENSG00000285945,0
ENSG00000197921,2
ENSG00000284666,1
ENSG00000234397,0
ENSG00000204138,1754
ENSG00000233419,0
ENSG00000225011,0
ENSG00000284676,0
ENSG00000090020,847
ENSG00000158006,810
ENSG00000196581,14
ENSG00000169403,42
ENSG00000171612,183
ENSG00000270927,0
ENSG00000188910,28
ENSG00000230523,0
ENSG00000233234,0
ENSG00000189337,10
ENSG00000028137,3350
ENSG00000283259,3
ENSG00000130939,2600
ENSG00000175147,0
ENSG00000127472,0
ENSG00000060656,2
ENSG00000230214,0
ENSG00000189280,5
ENSG00000134698,2123
ENSG00000272420,2
ENSG00000273274,0
ENSG00000236648,0
ENSG00000232273,35
ENSG00000130940,458
ENSG00000163879,63
ENSG00000227527,7
ENSG00000116954,728
ENSG00000163873,0
ENSG00000117215,0
ENSG00000230163,0
ENSG00000227538,0
ENSG00000044012,0
ENSG00000179051,2978
ENSG00000215895,12
ENSG00000126067,1290
ENSG00000274944,0
ENSG00000272078,56
ENSG00000230451,4
ENSG00000231606,4
ENSG00000254553,0
ENSG00000284653,0
ENSG00000237749,109
ENSG00000276747,1
ENSG00000228776,0
ENSG00000159339,22
ENSG00000261781,0
ENSG00000158315,16
ENSG00000186973,0
ENSG00000146463,2746
ENSG00000142686,256
ENSG00000224751,49
ENSG00000117148,0
ENSG00000230585,82
ENSG00000117000,3118
ENSG00000284989,0
ENSG00000231630,0
ENSG00000092853,30
ENSG00000255811,0
ENSG00000134697,1026
ENSG00000187513,32
ENSG00000225671,27
ENSG00000116151,221
ENSG00000006555,466
ENSG00000236111,2
ENSG00000214114,422
ENSG00000116544,39
ENSG00000236723,16
ENSG00000232467,1
ENSG00000117016,209
ENSG00000163866,1246
ENSG00000237130,23
ENSG00000232335,0
ENSG00000232762,26
ENSG00000162384,902
ENSG00000162391,0
ENSG00000117859,2365
ENSG00000162396,244
ENSG00000284686,0
ENSG00000162378,2730
ENSG00000259818,26
ENSG00000234318,0
ENSG00000227485,0
ENSG00000236646,11
ENSG00000243725,106
ENSG00000171872,0
ENSG00000162407,0
ENSG00000163877,1280
ENSG00000228929,7211
ENSG00000224570,14
ENSG00000224980,0
ENSG00000278967,35
ENSG00000157184,605
ENSG00000198815,6698
ENSG00000134744,8368
ENSG00000233910,0
ENSG00000287703,0
ENSG00000283039,0
ENSG00000229294,14
ENSG00000236973,15
ENSG00000277397,0
ENSG00000162385,648
ENSG00000275350,0
ENSG00000123080,153
ENSG00000285778,0
ENSG00000233407,0
ENSG00000162598,0
ENSG00000280317,0
ENSG00000162415,243
ENSG00000162600,2866
ENSG00000116704,1713
ENSG00000157193,416
ENSG00000116205,981
ENSG00000233994,223
ENSG00000227556,0
ENSG00000162607,3427
ENSG00000285954,8
ENSG00000233333,1
ENSG00000154027,1848
ENSG00000234108,0
ENSG00000232676,12
ENSG00000213579,0
ENSG00000137960,13
ENSG00000237852,6
ENSG00000132855,28
ENSG00000270549,2
ENSG00000237163,1
ENSG00000229636,0
ENSG00000116675,228
ENSG00000162433,7
ENSG00000213625,1182
ENSG00000233664,2
ENSG00000158966,652
ENSG00000213703,7
ENSG00000153898,396
ENSG00000117069,3
ENSG00000125703,649
ENSG00000234144,8
ENSG00000277670,0
ENSG00000227466,0
ENSG00000230498,72
ENSG00000162618,0
ENSG00000224493,0
ENSG00000131233,6
ENSG00000229225,0
ENSG00000225598,0
ENSG00000137941,12
ENSG00000286548,45
ENSG00000272094,1
ENSG00000228853,0
ENSG00000284895,0
ENSG00000117174,1308
ENSG00000184313,0
ENSG00000288543,7
ENSG00000122420,0
ENSG00000143013,526
ENSG00000226084,19479
ENSG00000134748,3640
ENSG00000142892,1763
ENSG00000229332,0
ENSG00000227937,0
ENSG00000229752,0
ENSG00000233216,7
ENSG00000197273,2
ENSG00000226804,0
ENSG00000230728,0
ENSG00000232846,8
ENSG00000230787,0
ENSG00000116641,814
ENSG00000172260,2
ENSG00000285473,0
ENSG00000234578,0
ENSG00000229505,0
ENSG00000228187,37
ENSG00000182183,945
ENSG00000236407,0
ENSG00000271949,0
ENSG00000227062,0
ENSG00000067334,2419
ENSG00000235011,0
ENSG00000213559,0
ENSG00000287587,0
ENSG00000232882,109
ENSG00000171502,1
ENSG00000116157,461
ENSG00000143036,13
ENSG00000065243,1898
ENSG00000226960,11
ENSG00000234080,0
ENSG00000285409,0
ENSG00000117528,1336
ENSG00000271723,2
ENSG00000036549,4370
ENSG00000225191,2
ENSG00000287870,11
ENSG00000232048,0
ENSG00000232857,0
ENSG00000273637,0
ENSG00000228838,6
ENSG00000283761,150
ENSG00000189433,1
ENSG00000142700,0
ENSG00000233514,41
ENSG00000127124,1030
ENSG00000266993,76
ENSG00000229316,0
ENSG00000234099,17
ENSG00000137936,84
ENSG00000232752,5
ENSG00000235829,0
ENSG00000143032,0
ENSG00000280040,0
ENSG00000117519,347
ENSG00000238037,0
ENSG00000134215,247
ENSG00000227935,1
ENSG00000228502,1485
ENSG00000271277,0
ENSG00000236888,1
ENSG00000230828,0
ENSG00000152078,5
ENSG00000171492,4471
ENSG00000233129,5
ENSG00000170989,19998
ENSG00000237897,4
ENSG00000137962,0
ENSG00000286692,8
ENSG00000260464,33
ENSG00000231996,0
ENSG00000117154,0
ENSG00000162377,376
ENSG00000116774,23
ENSG00000287756,0
ENSG00000284652,0
ENSG00000023909,810
ENSG00000069702,4207
ENSG00000228399,164
ENSG00000236776,0
ENSG00000271252,0
ENSG00000235794,1
ENSG00000233983,0
ENSG00000116793,249
ENSG00000232918,1
ENSG00000183298,789
