,kupritz-26037-001
ENSG00000142611,1
ENSG00000284616,0
ENSG00000157911,237
ENSG00000260972,0
ENSG00000224340,13
ENSG00000229280,0
ENSG00000142655,599
ENSG00000232596,0
ENSG00000231510,0
ENSG00000149527,532
ENSG00000171621,219
ENSG00000272235,0
ENSG00000284694,0
ENSG00000224387,22
ENSG00000142583,1
ENSG00000284674,0
ENSG00000224338,0
ENSG00000287727,101
ENSG00000173614,143
ENSG00000215720,0
ENSG00000241326,0
ENSG00000233623,28
ENSG00000204624,57
ENSG00000142606,1
ENSG00000225931,86
ENSG00000171729,0
ENSG00000229393,13
ENSG00000287586,0
ENSG00000227169,0
ENSG00000283356,2
ENSG00000157916,2703
ENSG00000157881,1510
ENSG00000225387,0
ENSG00000048707,12110
ENSG00000225196,2
ENSG00000162444,0
ENSG00000279625,0
ENSG00000180758,187
ENSG00000184677,3308
ENSG00000285833,0
ENSG00000131697,439
ENSG00000280222,0
ENSG00000285945,0
ENSG00000197921,12
ENSG00000284666,0
ENSG00000234397,0
ENSG00000204138,1979
ENSG00000233419,0
ENSG00000225011,0
ENSG00000284676,0
ENSG00000090020,1616
ENSG00000158006,975
ENSG00000196581,4
ENSG00000169403,46
ENSG00000171612,157
ENSG00000270927,0
ENSG00000188910,9
ENSG00000230523,0
ENSG00000233234,0
ENSG00000189337,14
ENSG00000028137,15465
ENSG00000283259,0
ENSG00000130939,2987
ENSG00000175147,0
ENSG00000127472,0
ENSG00000060656,4
ENSG00000230214,0
ENSG00000189280,2
ENSG00000134698,3564
ENSG00000272420,7
ENSG00000273274,0
ENSG00000236648,0
ENSG00000232273,34
ENSG00000130940,863
ENSG00000163879,54
ENSG00000227527,6
ENSG00000116954,689
ENSG00000163873,0
ENSG00000117215,0
ENSG00000230163,0
ENSG00000227538,0
ENSG00000044012,0
ENSG00000179051,7668
ENSG00000215895,31
ENSG00000126067,2292
ENSG00000274944,5
ENSG00000272078,123
ENSG00000230451,0
ENSG00000231606,3
ENSG00000254553,0
ENSG00000284653,0
ENSG00000237749,138
ENSG00000276747,5
ENSG00000228776,0
ENSG00000159339,14
ENSG00000261781,0
ENSG00000158315,9
ENSG00000186973,0
ENSG00000146463,3196
ENSG00000142686,584
ENSG00000224751,39
ENSG00000117148,0
ENSG00000230585,87
ENSG00000117000,5826
ENSG00000284989,0
ENSG00000231630,0
ENSG00000092853,64
ENSG00000255811,1
ENSG00000134697,1316
ENSG00000187513,22
ENSG00000225671,36
ENSG00000116151,197
ENSG00000006555,757
ENSG00000236111,2
ENSG00000214114,567
ENSG00000116544,70
ENSG00000236723,17
ENSG00000232467,9
ENSG00000117016,298
ENSG00000163866,1807
ENSG00000237130,13
ENSG00000232335,1
ENSG00000232762,21
ENSG00000162384,991
ENSG00000162391,0
ENSG00000117859,2596
ENSG00000162396,297
ENSG00000284686,0
ENSG00000162378,2289
ENSG00000259818,30
ENSG00000234318,1
ENSG00000227485,0
ENSG00000236646,9
ENSG00000243725,148
ENSG00000171872,0
ENSG00000162407,0
ENSG00000163877,1746
ENSG00000228929,3769
ENSG00000224570,14
ENSG00000224980,0
ENSG00000278967,21
ENSG00000157184,639
ENSG00000198815,6344
ENSG00000134744,6749
ENSG00000233910,0
ENSG00000287703,0
ENSG00000283039,0
ENSG00000229294,16
ENSG00000236973,16
ENSG00000277397,0
ENSG00000162385,1087
ENSG00000275350,0
ENSG00000123080,268
ENSG00000285778,0
ENSG00000233407,0
ENSG00000162598,0
ENSG00000280317,0
ENSG00000162415,364
ENSG00000162600,1664
ENSG00000116704,2133
ENSG00000157193,589
ENSG00000116205,1079
ENSG00000233994,263
ENSG00000227556,0
ENSG00000162607,4221
ENSG00000285954,2
ENSG00000233333,0
ENSG00000154027,340
ENSG00000234108,0
ENSG00000232676,16
ENSG00000213579,0
ENSG00000137960,8
ENSG00000237852,12
ENSG00000132855,51
ENSG00000270549,0
ENSG00000237163,4
ENSG00000229636,0
ENSG00000116675,303
ENSG00000162433,482
ENSG00000213625,1949
ENSG00000233664,3
ENSG00000158966,49
ENSG00000213703,11
ENSG00000153898,1973
ENSG00000117069,4
ENSG00000125703,640
ENSG00000234144,6
ENSG00000277670,0
ENSG00000227466,0
ENSG00000230498,46
ENSG00000162618,0
ENSG00000224493,0
ENSG00000131233,0
ENSG00000229225,0
ENSG00000225598,0
ENSG00000137941,117
ENSG00000286548,113
ENSG00000272094,1
ENSG00000228853,0
ENSG00000284895,0
ENSG00000117174,1495
ENSG00000184313,3
ENSG00000288543,8
ENSG00000122420,0
ENSG00000143013,1001
ENSG00000226084,15735
ENSG00000134748,3601
ENSG00000142892,1636
ENSG00000229332,0
ENSG00000227937,0
ENSG00000229752,0
ENSG00000233216,3
ENSG00000197273,0
ENSG00000226804,0
ENSG00000230728,0
ENSG00000232846,11
ENSG00000230787,10
ENSG00000116641,1229
ENSG00000172260,0
ENSG00000285473,0
ENSG00000234578,0
ENSG00000229505,1
ENSG00000228187,30
ENSG00000182183,416
ENSG00000236407,0
ENSG00000271949,0
ENSG00000227062,0
ENSG00000067334,3137
ENSG00000235011,0
ENSG00000213559,0
ENSG00000287587,4
ENSG00000232882,94
ENSG00000171502,17
ENSG00000116157,378
ENSG00000143036,20
ENSG00000065243,2340
ENSG00000226960,7
ENSG00000234080,3
ENSG00000285409,0
ENSG00000117528,1852
ENSG00000271723,5
ENSG00000036549,4114
ENSG00000225191,0
ENSG00000287870,0
ENSG00000232048,0
ENSG00000232857,0
ENSG00000273637,0
ENSG00000228838,17
ENSG00000283761,181
ENSG00000189433,7
ENSG00000142700,0
ENSG00000233514,33
ENSG00000127124,8644
ENSG00000266993,105
ENSG00000229316,0
ENSG00000234099,23
ENSG00000137936,61
ENSG00000232752,17
ENSG00000235829,1
ENSG00000143032,0
ENSG00000280040,0
ENSG00000117519,143
ENSG00000238037,0
ENSG00000134215,1410
ENSG00000227935,1
ENSG00000228502,2281
ENSG00000271277,0
ENSG00000236888,0
ENSG00000230828,0
ENSG00000152078,19
ENSG00000171492,3297
ENSG00000233129,7
ENSG00000170989,11476
ENSG00000237897,3
ENSG00000137962,0
ENSG00000286692,13
ENSG00000260464,15
ENSG00000231996,0
ENSG00000117154,0
ENSG00000162377,350
ENSG00000116774,35
ENSG00000287756,0
ENSG00000284652,1
ENSG00000023909,1365
ENSG00000069702,17553
ENSG00000228399,131
ENSG00000236776,0
ENSG00000271252,0
ENSG00000235794,5
ENSG00000233983,0
ENSG00000116793,885
ENSG00000232918,0
ENSG00000183298,928
